取得時刻,PTS約定時刻,PTS価格
2026-06-12 15:20:05,2026-06-12 15:04,81620
2026-06-12 15:21:00,2026-06-12 15:05,81640
2026-06-12 15:22:01,2026-06-12 15:06,81520
2026-06-12 20:06:43,2026-06-12 19:50,82310
2026-06-12 20:07:00,2026-06-12 19:50,82310
2026-06-12 20:08:01,2026-06-12 19:50,82310
2026-06-12 20:09:00,2026-06-12 19:50,82310
2026-06-12 20:10:01,2026-06-12 19:54,82300
2026-06-12 20:11:00,2026-06-12 19:54,82300
2026-06-12 20:12:01,2026-06-12 19:54,82300
2026-06-12 20:13:00,2026-06-12 19:54,82300
2026-06-12 20:14:01,2026-06-12 19:57,82300
2026-06-12 20:15:00,2026-06-12 19:59,82201
2026-06-12 20:16:01,2026-06-12 19:59,82201
2026-06-12 20:17:01,2026-06-12 20:01,82250
2026-06-12 20:18:00,2026-06-12 20:01,82250
2026-06-12 20:19:01,2026-06-12 20:02,82300
2026-06-12 20:20:00,2026-06-12 20:04,82390
2026-06-12 20:21:01,2026-06-12 20:04,82390
2026-06-12 20:22:00,2026-06-12 20:04,82390
2026-06-12 20:23:01,2026-06-12 20:04,82390
2026-06-12 20:24:01,2026-06-12 20:07,82390
2026-06-12 20:25:00,2026-06-12 20:07,82390
2026-06-12 20:26:01,2026-06-12 20:10,82390
2026-06-12 20:27:00,2026-06-12 20:10,82390
2026-06-12 20:28:01,2026-06-12 20:11,82400
2026-06-12 20:29:01,2026-06-12 20:13,82400
2026-06-12 20:30:00,2026-06-12 20:13,82400
2026-06-12 20:31:01,2026-06-12 20:15,82450
2026-06-12 20:32:00,2026-06-12 20:16,82479
2026-06-12 20:33:01,2026-06-12 20:16,82479
2026-06-12 20:34:01,2026-06-12 20:16,82479
2026-06-12 20:35:00,2026-06-12 20:19,82478
2026-06-12 20:36:01,2026-06-12 20:19,82478
2026-06-12 20:37:00,2026-06-12 20:21,82500
2026-06-12 20:38:01,2026-06-12 20:22,82548
2026-06-12 20:39:00,2026-06-12 20:23,82550
2026-06-12 20:40:01,2026-06-12 20:24,82600
2026-06-12 20:41:00,2026-06-12 20:25,82588
2026-06-12 20:42:01,2026-06-12 20:25,82700
2026-06-12 20:43:01,2026-06-12 20:25,82700
2026-06-12 20:44:00,2026-06-12 20:25,82700
2026-06-12 20:45:01,2026-06-12 20:29,82790
